title,text,subject,date
"Restaurant, retail calorie disclosure rule in flux under Trump","LOS ANGELES (Reuters) - A much-delayed U.S. rule requiring restaurants and retailers to clearly display food calorie counts has been pushed back again, and could be rewritten or scrapped as the Trump administration rebuffs Obama-era regulations. Notice came shortly after the U.S. Department of Agriculture relaxed some school lunch rules that were part of former first lady Michelle Obama’s signature effort to fight childhood obesity. The Food and Drug Administration late on Monday extended the compliance date for the calorie labeling rule from May 5, 2017, to May 7, 2018, to enable further consideration of ways to cut costs and make requirements more flexible. The rule was designed to help U.S. consumers, who eat and drink about one-third of their calories away from home, battle the bulge. It is part of the Affordable Care Act of 2010, also known as Obamacare, which the Trump administration has vowed to repeal and replace in a bid to slash regulations it considers harmful to business.  Health and Human Services Secretary Tom Price, who oversees the FDA, said in a statement his agency believed in promoting sound nutrition and applauded the delay. “Imposing burdensome rules that leave business managers and owners worried about harsh potential penalties and less able to serve their customers is unwise and unhelpful,” Price said. The rule’s opponents, including Domino’s Pizza Inc, movie theater operators, and convenience and grocery stores, have pushed for delays over the years.   But even if the calorie disclosure rule is killed at the federal level, it is unlikely to go away. Chains like Panera Bread Co and McDonald’s Corp, have been displaying such information for years in compliance with rules set by California, New York City and other jurisdictions. Panera in 2010 became the first national chain to post calorie counts for its salads, sandwiches and pastries.  Sara Burnett, Panera’s director of food policy and wellness, said customers want to know what is in the food they eat, so the chain will continue to comply with the federal law as it was written. “It’s information that helps our guests make informed decisions,” Burnett said. ",politicsNews,"May 2, 2017 "
Pakistan says over 300 Baloch separatist militants surrender,"ISLAMABAD (Reuters) - More than 300 Baloch separatist militants have surrendered over the past few months, Pakistani government officials said, after a ceremony to mark the downing of guns and militants  return to civilian life. The surrenders are part of government efforts to end a decade-long insurgency in the southwestern Baluchistan province by offering amnesties and financial rewards to soldiers and commanders to help them re-integrate into the society. In a high-profile ceremony on the lawn of the Baluchistan provincial assembly in the western city of Quetta, the regional capital, some 313 militants from three separatist movements handed over weapons to Nawab Sanaullah Zehri, the Chief Minister of the province.  I will hug all that who believe in integrity and sovereignty of Pakistan but will not tolerate (those) who will challenge the writ of the State,  Zehri said at the ceremony on Saturday. Pakistani government officials say about 2,000 militants have surrendered over the past 18 months. In April, the government held a similar ceremony where about 400 militants handed over their guns. The latest ceremony saw surrenders by 143 militants from the Baloch Republican Army (BRA), 125 fighters from the Baloch Liberation Army (BLA) and 17 from Baloch Liberation Front (BLF), according to officials. Under the agreement, foot soldiers are given 500,000 rupees ($4,700) and the top-level commanders receive about 1 million rupees ($9,500) to help them and their families build a life after militancy.     Baluchistan s government and the powerful army, which has a huge say in the running of Pakistan s poorest province, tout the amnesties as an effective way to reduce the power of separatists who accuse Islamabad of exploiting Baluchistan. While security has improved in Baluchistan over the past few years, critics and human rights groups say the army has crushed dissent and free speech, while separatists accuse security officials of extra-judicial killings and enforced disappearances. The military denies abuse claims. Pakistan s desire to dismantle the insurgencies has grown in urgency amid vast Chinese investment from Beijing s Belt and Road infrastructure splurge. China has frequently urged Pakistan to improve security, especially in Baluchistan. A new transport corridor (CPEC) through Baluchistan, linking Western China with Pakistan s Arabian Sea port of Gwadar, is due to become operational in late 2018.  Separatists have vowed to disrupt CPEC, and earlier this week China warned its citizens of a security threat inside Pakistan. ",worldnews,"December 10, 2017 "
Trump offers Sessions attorney general post: CBS News,"WASHINGTON (Reuters) - President-elect Donald Trump has offered Republican Senator Jeff Sessions the job of U.S. Attorney General, CBS News and Bloomberg reported on Friday. Republican National Committee spokesman Sean Spicer, who is involved in the Trump presidential transition, would not confirm the reports on CNN. “Until Donald Trump says it, it’s not official,” Spicer said.  ",politicsNews,"November 18, 2016 "
Indonesia foreign minister flies to Bangladesh after Myanmar visit on Rohingya,"DHAKA (Reuters) - Indonesia s foreign minister will fly to Bangladesh on Tuesday for talks following her visit to Myanmar where she urged national leader Aung San Suu Kyi to end ongoing violence against the Rohingya Muslim minority there. Bangladesh s foreign secretary, Shahidul Haque, told Reuters Retno Marsudi will meet Bangladeshi officials in Dhaka. Nearly 90,000 Rohingya have fled to Bangladesh since Aug. 25, following an army crackdown triggered by attacks by Rohingya insurgents in Buddhist-majority Myanmar s northwestern Rakhine state. The Rakhine violence has killed at least 400 people, most of them Rohingya insurgents, according to the Myanmar government, leading to the exodus of Rohingya to neighbouring Bangladesh that is struggling to cope with the influx. Muslim-majority countries such as Indonesia and Turkey, who are trying to pressure Nobel peace prize winner Suu Kyi to end the crisis, are also offering help to Bangladesh deal with the massive inflow of people from across its 271 km (168 mile)long border with Myanmar. ",worldnews,"September 4, 2017 "
FDA nominee moves to untangle potential conflicts of interest,"(Reuters) - Dr. Scott Gottlieb, President Donald Trump’s nominee to lead the U.S. Food and Drug Administration, has outlined measures he would take to untangle his ties to the pharmaceutical industry if confirmed by the Senate. In an ethics disclosure form filed with the Department of Health and Human Services on Tuesday, Gottlieb said he would resign from multiple corporate boards including GlaxoSmithKline Plc and consulting positions. Gottlieb’s financial ties to the healthcare industry are extensive. If confirmed he has agreed to recuse himself from matters in which he has a financial interest and divest his holdings in about 20 mostly small healthcare companies. Gottlieb, 44, is widely expected to be confirmed, though his pharmaceutical ties are likely to be scrutinized by Democrats. For the past decade he has been a partner at New Enterprise Associates, a large venture capital fund with investments in the life sciences. He would also resign from his position at the investment firm T.R. Winston & Co, and said he would not perform any consulting work while running the agency or participate in any matter involving previous clients for a year after last providing services to a client. Gottlieb, a resident fellow at the conservative American Enterprise Institute think tank, is viewed favorably by the drug industry. He would be responsible for implementing key elements in the recently passed 21st Century Cures Act, which calls on the agency to streamline the drug approval process. ",politicsNews,"March 29, 2017 "
Tillerson's Asia trip not seen producing concrete action on North Korea: State Dept,"WASHINGTON (Reuters) - Secretary of State Rex Tillerson will have “substantive, hard” talks with U.S. partners in Asia on next steps in dealing with North Korea, but his visit this week is not likely to produce an immediate specific response, the State Department said on Wednesday. “I wouldn’t predict that there’s going to be concrete action out of his trip,” State Department spokesman Mark Toner told a briefing on Wednesday when asked if Tillerson expected firm commitments on moving forward against North Korea. “I think this is a chance for him to have a lot of substantive, hard discussions with our allies and partners in the region about possible next steps, again recognizing that the threat of North Korea, frankly, is only growing stronger,” Toner said. Tillerson is visiting South Korea, Japan and China on his Asia trip. Asked what Tillerson would tell Asian trading partners following President Donald Trump’s decision to withdraw from the multilateral Trans-Pacific Partnership trade deal negotiated by his predecessor, Toner said the secretary’s message would be that trade is a vital U.S. stimulus. “We want to pursue trade, we believe in trade,” Toner said. “Trade is good for American workers, it’s good for American companies, but we want to do that on a bilateral basis and ... we want to ensure a level playing field for U.S. workers and U.S. companies.” ",politicsNews,"March 15, 2017 "
Russian media law poses threat to free press: U.S. State Department,"WASHINGTON (Reuters) - The U.S. State Department said on Tuesday that a new law allowing Russia s Justice Ministry to list foreign media outlets as  foreign agents  posed a threat to free press and it urged Moscow not to use the measure to tighten control over the media. State Department spokeswoman Heather Nauert said in a statement on Tuesday,  Freedom of expression, including speech and media which a government may find inconvenient, is a universal human rights obligation Russia has pledged to uphold.  She said Russia s foreign agents law had been  used to justify a constant stream of raids, harassment, and legal proceedings that effectively obstruct non-governmental organizations from doing their work.  The law, signed by President Vladimir Putin on Saturday, allows Moscow to force foreign media to brand news they provide to Russians as the work of  foreign agents  and to disclose their funding sources. The legislation was rushed through Russia s parliament in two weeks after the United States required Russian state broadcaster RT to register its U.S.-based affiliate company as a  foreign agent.  Nauert rejected any comparison between the U.S. and Russian laws, saying the American law did not limit publication of information or restrict the organization s ability to operate. The move is part of the fallout from allegations that Russia interfered in last year s U.S. presidential campaign to try to help Donald Trump win. U.S. intelligence officials have accused the Kremlin of using Russian media to influence U.S. voters. Moscow has denied meddling in the U.S. election.  Expanding the Foreign Agents Law to include media outlets opens the door to onerous requirements that could further stifle freedom of speech and editorial independence in Russia,  Nauert said. ",worldnews,"November 28, 2017 "
State Department says halts review of Clinton emails at FBI request,"WASHINGTON (Reuters) - The U.S. State Department has suspended plans for an internal review of whether classified information was properly handled in former Secretary of State Hillary Clinton’s emails at the request of the FBI, a spokeswoman said on Friday. Clinton, the front-runner in the race for the Democratic Party nomination in the Nov. 8 presidential election, has apologized for using a private email server for official business while in office from 2009 to 2013 and said she did nothing wrong. The Federal Bureau of Investigation is probing the arrangement. On Jan. 29, the State Department said 22 emails sent or received by Clinton had been upgraded to top secret at the request U.S. intelligence agencies and would not be made public as part of the release of thousands of Clinton’s emails. It said that none of the emails was marked classified when sent. At the time, the department also said it would conduct an internal review on whether the information in the emails was classified at the time it passed through Clinton’s private clintonemail.com account run on a server in her New York home. The State Department consulted the FBI about this in February, and in March the law enforcement agency asked the State Department to halt its inquiry. “The FBI communicated to us that we should follow our standard practice, which is to put our internal review on hold while there is an ongoing law enforcement investigation ,” State Department spokeswoman Elizabeth Trudeau told reporters.  “The internal review is on hold, pending completion of the FBI’s work,” she added.” We’ll reassess next steps after the FBI’s work is complete.” A U.S. State Department official who spoke on condition of anonymity said the State Department had really only done “administrative work” on its review but had held off while waiting for a response from the FBI. “It took a little bit of time for the FBI to respond to our request for advice and in the interim we did not pursue the review out of prudence,” said the official, who declined further comment on the State Department review. The government forbids handling of classified information, which may or may not be marked that way, outside secure government-controlled channels, and sometimes prosecutes people who remove it from such channels. The government classifies information as top secret if it deems a leak could cause “exceptionally grave damage” to national security. Two judges have allowed a group suing for Clinton’s records to seek sworn testimony from officials. On Tuesday, one judge said there was “evidence of government wrongdoing and bad faith” over the arrangement.",politicsNews,"April 1, 2016 "
"U.S. expels 15 Cuban diplomats, fuelling tensions with Havana","WASHINGTON/HAVANA (Reuters) - The Trump administration on Tuesday expelled 15 Cuban diplomats to protest Cuba’s failure to protect staff at the U.S. embassy in Havana from a mysterious spate of health “attacks,” spurring new tensions between the former Cold War foes. Secretary of State Rex Tillerson said the expulsions from Cuba’s embassy in Washington were also intended to ensure “equity” in staffing levels, after he recalled more than half the U.S. diplomatic personnel in Havana on Friday. Cuban Foreign Minister Bruno Rodriguez denounced the decision as “unjustified,” accused the United States of insufficient cooperation with Cuba’s investigation of the health incidents and urged Washington to stop politicizing the matter. The steps taken by Republican President Donald Trump’s administration delivers another blow to his Democratic predecessor Barack Obama’s policy of rapprochement, including actions likely to erode the normalization of a relationship dominated for decades by mutual hostility and suspicion. The latest U.S. move was communicated to Cuban Ambassador Jose Ramon Cabanas on Tuesday, and the diplomats were given seven days to leave, a State Department official said, speaking on condition of anonymity. “Until the Government of Cuba can ensure the safety of our diplomats in Cuba, our embassy will be reduced to emergency personnel to minimize the number of diplomats at risk of exposure to harm,” Tillerson said in a statement. “We continue to maintain diplomatic relations with Cuba, and will continue to cooperate with Cuba as we pursue the investigation into these attacks,” he added. The United States announced on Friday that it was sharply reducing its diplomatic presence in Cuba, as it warned U.S. citizens not to visit the Communist-ruled island because of the alleged attacks it says have caused hearing loss, dizziness and fatigue in 22 U.S. embassy personnel. The State Department had said the embassy was halting regular visa operations for Cubans seeking to visit the United States and would offer only emergency services to U.S. citizens. Cuba has denied involvement in any attacks and says it has reinforced security for U.S. diplomatic personnel. Rodriguez said lack of U.S. cooperation had stymied its own investigation into the matter. Authorities had not provided access to the injured people and the doctors who examined them, or to the homes where the attacks allegedly took place, he said, adding that evidence had been delivered late.  Rodriguez urged the United States to cooperate more and said Cuba was also working with Canada on the investigation as Canadian diplomats have reported similar symptoms. So far, none of the probes have yielded any answers about how the alleged attacks were carried out or who was responsible. Several Cuban-American Republican lawmakers, including U.S Senator Marco Rubio and Representative Ileana Ros-Lehtinen, had urged that Cuban diplomats be kicked out in retaliation for the Cuban government’s failure to get to the bottom of the attacks. “I commend the U.S. State Department for expelling a number of Cuban operatives from the U.S.,” Rubio, an influential voice on Trump’s Cuba policy, said in a statement. But James Williams, president of Engage Cuba, a Washington-based pro-engagement lobbying group said: “This decision appears to be purely political, driven by the desire of a handful of individuals in Congress to halt progress between our two countries.” “It looks like we are returning the threats and tensions of the 1960s,” said Maria Fernandez, a 45-year-old office worker in Havana. “This is madness by Trump. It’s really sad, because we are so close, and yet so far away from a sincere rapprochement.” Trump, who in June vowed to partially roll back the detente with Cuba agreed by his Democratic predecessor Obama after five decades of hostility, called the Cuban government “corrupt and destabilizing” in his address to the United Nations last month. Cuba described his comments as “unacceptable and meddling.” Rodriguez urged the United States “not to continue politicizing this matter, which can provoke an undesirable escalation and could rarify and reverse even more bilateral relations.” In Havana, U.S. diplomats frantically selling off their belongings at garage sales and on social media, said they were disappointed to be ordered to leave. In a message on Facebook, the embassy’s top official, career diplomat Scott Hamilton, said he would also be leaving. “I am an optimist and hope we will return one day, before too long,” he wrote. “Hasta la proxima Cuba.” ",politicsNews,"October 3, 2017 "
"Senior U.S. senator pushes Trump on Russia, French election","WASHINGTON (Reuters) - A senior U.S. lawmaker pushed President Donald Trump’s administration on Tuesday to respond to concerns that Russia was responsible for a hacking attack on the campaign of French President-elect Emmanuel Macron. “Mr. Macron’s victory in Sunday’s election does not diminish the need for the Trump Administration to take this attack seriously and to work closely with the French government to bring the perpetrators to justice and prevent similar attacks from taking place in the future,” Senator Richard Durbin, the No. 2 Democrat in the Senate, wrote in a letter to administration officials, including Director of National Intelligence Dan Coats and Rod Rosenstein, the deputy attorney general. Jeff Sessions, Trump’s attorney general, has removed himself from probes of Russian election interference after failing to disclose his meetings with Russia’s ambassador to the United States. “Quite frankly it is the height of irresponsibility that President Trump still denies Russia’s act of cyber war against our election,” Durbin wrote in the letter, seen by Reuters. Durbin asked for information, including how the administration was responding to such attacks, and said Trump’s attitude could result in inadequate efforts to help U.S. allies and U.S. states protect against future Russian hacking. Russia denies allegations that it has sought to meddle in foreign elections. Trump has also pushed back against suggestions that his surprise victory in November was boosted by Moscow’s efforts. Trump took to Twitter on Monday after a Senate hearing on the subject, saying, “The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?” ",politicsNews,"May 9, 2017 "
